depth,min,max,median,mean,Ambrosia-type,Betula,Carya,Cyperaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Juglans cinerea,Ostrya/Carpinus,Pinus,Platanus,Prunus/Sorbus,Quercus,Tsuga,Acer rubrum,Alnus incana-type,Apiaceae,Asteroideae undiff.,Ilex,Indeterminable,Juglans nigra,Poaceae undiff.,Rumex,Sphagnum,Ulmus,Acer saccharum-type,Artemisia,Castanea,Cornus,Corylus,Myrica,Nyssa,Osmunda,Plantago lanceolata,Poaceae (Cerealia),Rhamnaceae/Vitaceae,Ericaceae,Salix,Tilia,Pteridium-type,Thalictrum,Alnus viridis-type,Caprifoliaceae sensu lato,Dryopteris-type,Picea,Polygonum sensu lato,Unknown,Abies,Anacardiaceae,Polypodiophyta undiff.,Onagraceae,Isoëtes,Lemnoideae,Lycopodium-type,Potamogetonaceae,Potentilla-type,Sagittaria,Sanguisorba,Sparganium-type,Menyanthes trifoliata,Caryophyllaceae,Spermatophyta undiff. (aquatics),Cupressaceae,Ranunculus
20,-59,1403,255,373,0.666666667,2,1,0.333333333,0.333333333,0.333333333,1.666666667,0.333333333,0.666666667,12.66666667,0.333333333,0.333333333,79,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,85,1933,702,788,2.702702703,16.21621622,0.900900901,5.705705706,0,0,0.600600601,0.600600601,0,16.21621622,0,0,49.54954955,0.900900901,1.201201201,0.3003003,0.3003003,0.3003003,0.3003003,0.600600601,0.3003003,1.501501502,0.3003003,0.3003003,1.201201201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,283,2426,1123,1186,5.610561056,11.55115512,2.97029703,2.310231023,0.660066007,0,0.330033003,0.660066007,0.660066007,14.85148515,0,0.330033003,40.2640264,1.98019802,0.330033003,0.660066007,0.330033003,0,0.99009901,0.330033003,0.660066007,1.320132013,0,0,0.99009901,1.320132013,0.99009901,2.97029703,0.330033003,0.330033003,0.330033003,4.620462046,0.660066007,0.330033003,0.330033003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,544,2906,1559,1599,1.324503311,9.933774834,3.311258278,1.655629139,1.655629139,0,0,0.331125828,2.649006623,21.85430464,0.331125828,0.331125828,38.74172185,2.98013245,0,1.655629139,0,0,0.662251656,0,0,0.993377483,0,0.662251656,0.993377483,0,0,2.98013245,0,0,0,6.291390728,0.331125828,0,0,0.331125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,838,3404,1970,2014,0.332225914,5.647840532,1.661129568,0.996677741,0.996677741,0,0.332225914,0,1.661129568,25.91362126,0.332225914,0.332225914,41.86046512,3.65448505,0,0.664451827,0,0,0.664451827,0,0,0.664451827,0,0,0.332225914,0,0,4.983388704,0,0,0,6.312292359,0.664451827,0,0,0.664451827,0.664451827,0.332225914,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1534,4228,2782,2813,0,4.983388704,2.325581395,6.644518272,2.990033223,0,0,0.332225914,1.993355482,16.94352159,0.332225914,0,38.20598007,1.993355482,0.664451827,0,0,0,0.332225914,0,0.332225914,0.332225914,0,0,1.661129568,0,0,8.305647841,0,0.332225914,0.332225914,10.29900332,0.332225914,0,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1881,4610,3222,3228,0.684931507,4.452054795,2.397260274,8.219178082,1.712328767,0,0,0.342465753,1.369863014,20.54794521,0.342465753,0,44.52054795,0.342465753,0.342465753,0.342465753,0,0,0,0.342465753,0,0.342465753,0,0,0,0,0.342465753,5.136986301,0,0.342465753,0,7.191780822,0,0,0,0,0,0,0,0.342465753,0.342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2266,5013,3632,3630,0,4.290429043,2.310231023,10.56105611,1.98019802,0,0.99009901,0,1.98019802,17.49174917,0.330033003,0,36.63366337,0.660066007,0,0.99009901,0,0.330033003,3.300330033,0,0.330033003,1.98019802,0,0,0.330033003,0.330033003,0.330033003,8.910891089,0,0,0.330033003,2.640264026,0.330033003,0,0,0.330033003,0.330033003,0,0,0.99009901,0,0.330033003,0.330033003,0.330033003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2645,5391,4059,4046,0.17211704,2.065404475,1.032702238,1.032702238,1.721170396,0,0,0.17211704,0.344234079,7.917383821,0,0,22.20309811,0.516351119,0,0.17211704,0,0,48.53700516,0,0,0,0,0,0.344234079,0,0.344234079,4.647160069,0,0,0.17211704,7.228915663,0.344234079,0,0,0.17211704,0.344234079,0,0,0,0,0,0.516351119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3006,5751,4462,4443,0.318471338,1.592356688,0.636942675,5.414012739,1.27388535,0,0.318471338,0,2.547770701,12.42038217,0.318471338,0,36.94267516,2.547770701,0.318471338,0,0,0,5.095541401,0,0,2.229299363,0,0,0,0.955414013,0,10.1910828,0,0,0,10.82802548,3.821656051,0,0,0.318471338,0,0,0.318471338,0.318471338,0,0,0,0,0.318471338,0.636942675,0.318471338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3843,6426,5269,5235,0.294985251,2.654867257,0,5.014749263,1.179941003,0.589970501,0.589970501,0.294985251,0.589970501,10.91445428,0,0,27.13864307,4.424778761,0.294985251,0.884955752,0.294985251,0,0.884955752,0,0.294985251,0.884955752,0,0.884955752,0.884955752,0.294985251,0,11.50442478,0,0.294985251,0,16.22418879,10.32448378,0,0,0,0,0,0,0.294985251,0,0,0.294985251,0.294985251,0.294985251,0,0,0.294985251,0.589970501,0.294985251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4732,7011,6096,6048,0.625,1.25,1.25,6.875,1.875,0,0,0,0.9375,6.25,0,0,33.125,5.625,0.3125,0.625,0.625,0,1.5625,0,0,3.75,0,0.3125,0.3125,0.625,0,9.0625,0,0.3125,0,17.5,5.3125,0,0,0,0.3125,0,0,0,0.3125,0.3125,0.3125,0,0,0.3125,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5849,7513,6921,6860,0.307692308,0.923076923,0.615384615,7.384615385,2.153846154,0,0,0.307692308,0.615384615,6.769230769,0,0,31.69230769,4.923076923,1.230769231,0.615384615,0.307692308,0,1.230769231,0,0,0.923076923,0,1.230769231,0.307692308,0.307692308,0,8.923076923,0,0,0,21.53846154,6.153846154,0,0,0,0,0,0,0,0,0.307692308,0,0,0.307692308,0,0.307692308,0,0.307692308,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6514,7682,7330,7267,0.632911392,1.898734177,0.632911392,6.012658228,1.898734177,0.316455696,0.316455696,0,0.632911392,8.860759494,0.316455696,0,30.06329114,6.962025316,0.316455696,0,0.316455696,0.316455696,1.898734177,0,0,2.848101266,0,0,0.316455696,0.316455696,0,9.810126582,0,0.316455696,0,17.40506329,4.746835443,0,0,0,0,0,0,0,0,0.632911392,0.632911392,0,0.632911392,0,0.316455696,0.632911392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.5,7207,7782,7536,7525,0,2.848101266,0.316455696,6.64556962,0.632911392,0.316455696,0,0,0.949367089,35.44303797,0,0.316455696,5.063291139,0.632911392,0,0,0.316455696,1.582278481,0.632911392,0,0,2.53164557,0,0.949367089,0.316455696,0,0,0,0,1.265822785,0,0.316455696,1.265822785,0,0,0,0,1.265822785,0,0,0,16.4556962,0.316455696,0.316455696,8.544303797,0,0.316455696,3.481012658,0,0,0,0.316455696,0.316455696,0.632911392,0.632911392,0.949367089,0.316455696,3.164556962,0.632911392,0,0,0,0,0
110,7495,8160,7769,7784,0,4.458598726,0,13.37579618,0,0.636942675,0,0,0.955414013,28.98089172,0,0.318471338,3.821656051,0.318471338,0,0.955414013,0.318471338,2.547770701,0,0.318471338,0,4.140127389,0,1.910828025,0,0.318471338,0.318471338,0,0.318471338,0.955414013,1.27388535,0,0,0,0,0,0,0.955414013,0,0.318471338,0,15.92356688,0,0,8.917197452,0,0.318471338,2.547770701,0,0,0,1.910828025,0,0,0,0.318471338,0,2.229299363,0,0.318471338,0,0,0,0
115,7854,11120,8861,9027,0.3125,2.5,0,15.625,0.3125,0.9375,0,0,2.8125,27.1875,0,0.9375,2.1875,0,0,0,0,3.4375,0.3125,0,0,0.9375,0,1.5625,0,0,0.625,0,0,1.5625,0.625,0,0,0,0,0,0,0.9375,0,0,0,10.9375,0,0.3125,12.1875,0,0,2.1875,0,0,0.3125,2.1875,0,0.3125,0.3125,0,0.3125,6.25,0.625,0.3125,0.3125,0.625,0,0
120,8488,12800,10222,10342,0.3125,2.5,0,8.4375,0.3125,0.3125,0,0,0.3125,20.3125,0,0,5.625,0.3125,0,0.3125,1.5625,5,0.625,0,0,0.9375,0,1.25,0,0,0.625,0,0.3125,1.875,0.3125,1.25,0.9375,0,0,0,0,0,0,0,0.625,6.25,0.3125,0.625,20.3125,0,0.3125,0.9375,0,0,0,1.25,0,0,0,0,0,14.0625,0.9375,0.9375,0,0,0,0
125,9468,13911,11666,11664,0,2.312138728,0.289017341,15.60693642,0.289017341,0.289017341,0,0,0.289017341,19.07514451,0,0,4.335260116,0.578034682,0,0.578034682,0.289017341,4.046242775,0.289017341,0.289017341,0,3.468208092,0.289017341,0.289017341,0,0,0,0,0,0,0.289017341,1.156069364,0.578034682,0,0,0,0,0,0,0,0,4.624277457,0,0.289017341,12.42774566,0,0.867052023,2.023121387,0,0,0,7.514450867,0,0.289017341,0.578034682,0,0,13.29479769,2.023121387,0.578034682,0,0.289017341,0.289017341,0.289017341
130,10630,14862,12934,12900,0.289855072,2.898550725,0,10.43478261,0,0,0,0,0.579710145,8.115942029,0,0.289855072,1.739130435,0,0,0.289855072,2.028985507,5.507246377,0,0,0,3.47826087,0,0,0,0,0.579710145,0,0.289855072,0,0.289855072,0,0,0,0,0,0,0.869565217,0,0,0.579710145,0,0,0,20.28985507,0,1.449275362,0.869565217,0,0,0.289855072,8.115942029,0,0.289855072,0.289855072,0.289855072,0,26.37681159,1.739130435,1.15942029,0,0.289855072,0,0.289855072
140,14664,16184,15468,15441,0.324675325,1.298701299,0,3.246753247,0,0,0,0,0.324675325,8.116883117,0,0.324675325,1.948051948,0,0,0.649350649,2.272727273,7.467532468,0,0,0,2.597402597,0.324675325,0,0,0,1.298701299,0,0.324675325,0,0,0,0,0,0,0,0,0.324675325,0,0,0.324675325,0,0,0,30.19480519,0,0.974025974,0,0,0,0.324675325,0.324675325,0,0,0,1.298701299,0,34.09090909,0.974025974,0.649350649,0,0,0,0
