depth,min,max,median,mean,Acer rubrum,Acer saccharum-type,Alnus incana-type,Amaranthaceae,Ambrosia-type,Anacardiaceae,Angiospermae undiff. (herbs),Artemisia,Asteroideae undiff.,Betula,Caprifoliaceae sensu lato,Carya,Castanea,Cyperaceae,Ericaceae,Fagus,Fraxinus pennsylvanica-type,Juglans cinerea,Juglans nigra,Larix,Liquidambar,Lycopodium-type,Osmunda,Ostrya/Carpinus,Picea,Pinus,Plantago,Platanus,Poaceae undiff.,Polypodiophyta undiff.,Populus,Prunus/Sorbus,Quercus,Rumex,Sphagnum,Tsuga,Ulmus,Vitis,Dryopteris-type,Menyanthes trifoliata,Myrica,Poaceae (Cerealia),Pteridium-type,Apiaceae,Equisetum,Fraxinus nigra-type,Nyssa,Brasenia schreberi,Corylus,Celtis,Diospyros-type,Rhamnaceae,Sagittaria,Acer negundo,Nuphar,Thalictrum,Cornus,Salix,Cupressaceae,Myriophyllum,Nymphaea,Ilex,Rubiaceae undiff.,Spermatophyta undiff. (aquatics),Potamogetonaceae,Galium,Polygonum sensu lato,Sparganium-type,Tilia,Isoëtes,Typha latifolia,Rhamnaceae/Vitaceae undiff.,Taxus,Abies,Urtica-type,Alnus viridis-type,Morus,Sanguisorba,Spermatophyta undiff. (shrubs),Moraceae undiff.,Caryophyllaceae,Selaginella
480,2316,3289,2718,2741,0.322580645,0.64516129,3.548387097,0,0,0,0,0.322580645,0,7.741935484,0,2.903225806,1.290322581,0.64516129,0.322580645,5.161290323,1.290322581,0,0,0,0,0,0.967741935,2.258064516,0,8.709677419,0,0.322580645,0.322580645,0,0.64516129,0.322580645,53.5483871,0,0,0.64516129,0.967741935,0,1.612903226,0,0.64516129,0,0.64516129,0,0,0.322580645,0,0.967741935,0,0.322580645,0,0,0,0,0,0.64516129,0,0,0.322580645,0,0,0.64516129,0.322580645,0.322580645,0,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0
490,2375,3328,2764,2789,0.643086817,2.250803859,3.536977492,0,0.321543408,0,0,0,0,8.038585209,0,0.964630225,0.643086817,0,0.643086817,6.109324759,0.643086817,0.321543408,0,0,0,0,1.286173633,0.964630225,0.321543408,8.038585209,0,0,0,0,0.321543408,0,51.76848875,0,0.643086817,1.607717042,0.643086817,0,2.250803859,0,0,0,0.321543408,0,0,0.321543408,0.643086817,1.286173633,0.321543408,0,0,0.643086817,0.321543408,0,0,0.321543408,0,0,0.643086817,0,0,1.607717042,0.643086817,0,0,0,0,0,0.321543408,0,0.321543408,0,0,0,0.321543408,0,0,0,0,0,0,0
498,2472,3382,2843,2867,0,0.980392157,3.267973856,0,0,0,0,0,0,7.516339869,0,4.248366013,1.307189542,0,0,4.901960784,1.960784314,0.326797386,0,0,0.326797386,0,0.980392157,0.653594771,0,7.189542484,0,1.307189542,0,0,0.326797386,0.326797386,52.2875817,0,0.653594771,3.921568627,1.960784314,0,1.633986928,0,0,0,0.980392157,0,0,0.980392157,0,0.980392157,0,0,0,0.326797386,0,0,0,0,0,0,0,0,0,0.653594771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2504,3398,2860,2885,0.967741935,0.967741935,4.193548387,0.322580645,0,0.322580645,0,0.322580645,0.322580645,6.451612903,0,2.903225806,2.903225806,0.322580645,0,7.096774194,0.967741935,0,0.322580645,0,0,0,1.290322581,0.64516129,0,10,0,0,0.322580645,0,0,0.322580645,52.58064516,0,0,1.290322581,0.322580645,0,0.967741935,0,0,0,1.612903226,0,0,0,0,0.967741935,0,0,0,0,0,0,0,0,0,0,0,0,0.64516129,0.64516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,2572,3432,2906,2933,0.632911392,1.898734177,5.063291139,0,0.316455696,0,0,0,0.316455696,9.17721519,0,2.848101266,1.582278481,0,0.316455696,9.17721519,0.316455696,0,0,0,0.316455696,0,1.265822785,1.265822785,0,5.696202532,0,1.582278481,0.316455696,0,0,0,45.56962025,0,0.316455696,4.430379747,0.949367089,0,0.632911392,0,0.316455696,0,0.949367089,0,0,0.949367089,0,1.582278481,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,0.316455696,0,0,0,0,0.632911392,0.316455696,0.316455696,0,0,0,0,0
530,2639,3467,2956,2982,0.324675325,1.623376623,3.246753247,0,0.649350649,0,0,0.324675325,0,6.493506494,0,3.571428571,3.571428571,0,0,6.493506494,0.649350649,0.324675325,0,0,0,0,0.649350649,1.948051948,0,7.792207792,0,0.324675325,0,0,0,0,43.83116883,0,0.324675325,9.74025974,1.623376623,0,0.974025974,0,0.974025974,0,0,0,0,1.298701299,0,0.649350649,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0.324675325,0.649350649,0.324675325,0,0,0,0,0,0.649350649,0.324675325,0,0,0,0,0,0,0,0,0,0,0,0
540,2694,3544,3023,3047,0.330033003,0.660066007,3.300330033,0,0,0,0,0,0,4.620462046,0,4.95049505,4.95049505,0,0,4.290429043,0,0,0,0,0,0,1.98019802,0.99009901,0,7.590759076,0,0,0.330033003,0,0,0.330033003,43.56435644,0,0.330033003,14.85148515,1.320132013,0,1.650165017,0,0,0,0.330033003,0,0,2.640264026,0,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,2800,3702,3158,3185,0.326797386,0.980392157,3.594771242,0,0.653594771,0,0,0,0,4.248366013,0,4.248366013,3.267973856,0.653594771,0,5.22875817,0.980392157,0.326797386,0,0,0,0,0.326797386,0.653594771,0,5.882352941,0,0.980392157,0.980392157,0,0.326797386,0,49.01960784,0,0,10.13071895,0.980392157,0,0.980392157,0,0,0,0.980392157,0,0,1.307189542,0,0.980392157,0,0,0,0,0,0,0.326797386,0,0,0,0.326797386,0,0,0.653594771,0.326797386,0,0,0,0,0,0.326797386,0,0,0,0,0,0,0,0,0,0,0,0,0
570,2857,3779,3229,3253,1.333333333,0.333333333,3.666666667,0,0.333333333,0,0,0,0.333333333,4,0,5.333333333,1.666666667,0,0,5.666666667,1,0.333333333,0,0,0.666666667,0,1,0.333333333,0,5.666666667,0,0.666666667,0.333333333,0,0,0,47,0,0.333333333,13,1.333333333,0,1.333333333,0,0,0,0.666666667,0,0,1,0,1,0,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,2914,3845,3296,3320,0,2.62295082,2.950819672,0,0.655737705,0,0,0,0,3.93442623,0,3.278688525,0.655737705,0.327868852,0.327868852,7.868852459,0.983606557,0.655737705,0,0,0,0,1.639344262,0.983606557,0,3.278688525,0,0.655737705,0.327868852,0,0,0.327868852,47.54098361,0,0,15.08196721,1.639344262,0,1.31147541,0,0,0,0.327868852,0,0,0.655737705,0,0.327868852,0,0,0,0,0,0,0,0.327868852,0,0,0,0,0,0.327868852,0.655737705,0,0,0,0,0,0,0,0,0,0,0,0.327868852,0,0,0,0,0,0,0
590,2975,3919,3367,3390,0.651465798,1.628664495,2.605863192,0,0,0,0,0,0,3.583061889,0,2.280130293,0.651465798,0.325732899,0,7.817589577,1.302931596,0,0,0,0,0,0.651465798,0.977198697,0,5.537459283,0,0.325732899,0,0,0,0,51.46579805,0,0,13.35504886,0.325732899,0,2.280130293,0,0,0,1.302931596,0,0,0.325732899,0,0.651465798,0,0,0,0,0,0,0,0,0,0,0,0,0.651465798,0.325732899,0.651465798,0,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0
598,3069,4061,3475,3499,0,1.644736842,2.302631579,0,0,0.328947368,0,0,0,3.289473684,0,1.644736842,0.986842105,0.328947368,0,9.210526316,0.657894737,1.315789474,0,0,0.657894737,0,1.315789474,0.657894737,0,1.973684211,0,0.328947368,0.328947368,0,0,0,51.31578947,0,0,15.46052632,0,0,2.302631579,0,0,0,1.315789474,0,0,0.328947368,0,0.328947368,0,0,0,0,0,0,0,0,0,0,0.328947368,0,0,0,0.657894737,0.328947368,0,0,0,0,0.328947368,0,0,0,0,0,0.328947368,0,0,0,0,0,0,0
610,3099,4079,3507,3527,1.003344482,2.006688963,4.013377926,0,0,0,0,0,0.334448161,3.678929766,0,1.337792642,1.337792642,0,0,6.02006689,2.341137124,0,0,0,0,0,0,1.003344482,0,4.347826087,0,0.334448161,0.334448161,0,0,0,53.17725753,0,0,12.37458194,1.337792642,0,0.668896321,0,0.334448161,0,0.668896321,0,0,0.668896321,0.334448161,1.337792642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668896321,0,0,0,0,0,0.334448161,0,0,0,0,0,0,0,0,0,0,0,0,0
620,3156,4142,3571,3594,1.337792642,0.668896321,3.010033445,0,0,0,0,0.334448161,0.334448161,4.682274247,0,1.672240803,0,0.334448161,0.334448161,11.0367893,2.006688963,0,0,0,0.334448161,0,0.334448161,0.668896321,0,3.678929766,0,0.668896321,0,0,0,0,46.48829431,0,0.334448161,12.04013378,2.675585284,0.334448161,0.334448161,0,0.334448161,0,1.337792642,0,0,1.672240803,0,0.668896321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668896321,1.003344482,0,0,0,0,0,0.668896321,0,0,0,0,0,0,0,0,0,0,0,0,0
640,3283,4288,3711,3730,0.337837838,2.702702703,1.689189189,0.337837838,0,0,0,0,0,3.716216216,0,1.013513514,0,0.337837838,0.337837838,7.432432432,1.689189189,2.027027027,0,0,0,0,0.337837838,0.337837838,0,3.378378378,0,1.351351351,0,0,0,0,52.02702703,0,0,14.18918919,1.013513514,0,1.689189189,0,0.337837838,0,0.675675676,0,0,0.675675676,0,0,0,0,0,0,0,0,0,0,0,0.337837838,0.675675676,0,0,0.675675676,0.337837838,0,0,0,0,0,0.337837838,0,0,0,0,0,0,0,0,0,0,0,0,0
660,3413,4423,3846,3864,0,0.996677741,3.65448505,0,0.332225914,0,0,0,0,3.986710963,0,0.664451827,0.332225914,0,0,9.634551495,0.332225914,0,0,0,0.332225914,0,0.664451827,0.664451827,0,2.657807309,0,0.996677741,0.332225914,0,0,0,53.48837209,0,0,10.96345515,1.328903654,0.332225914,1.993355482,0,0,0,0,0,0,0.996677741,0,0.664451827,0.664451827,0,0,0.996677741,0,0,0.332225914,0,0,0,0,0,0,1.661129568,0,0,0,0,0,0,0.664451827,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0
680,3544,4560,3981,4000,0.332225914,0.332225914,2.657807309,0,0,0,0,0,0,4.318936877,0,0.664451827,0.332225914,0,0,8.970099668,0.664451827,0.664451827,0,0,0,0,0.332225914,1.661129568,0.332225914,3.322259136,0,1.661129568,0.332225914,0,0,0,60.13289037,0,0,7.973421927,1.993355482,0,0.996677741,0,0,0,0.332225914,0,0,0,0,0.664451827,0.332225914,0,0,0,0,0,0,0,0,0,0.332225914,0,0,0,0.664451827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,3603,4618,4050,4065,0.974025974,0,3.571428571,0,0,0.324675325,0,0,0,5.194805195,0,1.298701299,0.324675325,0,0,8.116883117,1.948051948,0,0.324675325,0,0.324675325,0,0,0.324675325,0,3.246753247,0,0,0,0,0,0,50.64935065,0,0,14.93506494,2.272727273,0,0.324675325,0,0,0,0.974025974,0,0,0.649350649,0.649350649,1.948051948,0,0.324675325,0,0,0,0,0.324675325,0.324675325,0,0,0,0,0,0.324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324675325,0,0,0,0,0
695,3672,4683,4116,4133,0.327868852,0.983606557,2.62295082,0,0,0,0,0.327868852,0,4.590163934,0,1.967213115,0,0,0,6.557377049,0.655737705,0.655737705,0,0,0,0,0.655737705,0.983606557,0,2.950819672,0,0.983606557,0.983606557,0,0,0,57.04918033,0,0.327868852,11.47540984,0.655737705,0.327868852,1.967213115,0,0,0,0.327868852,0,0,0.983606557,0,0.327868852,0.327868852,0,0,0.327868852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327868852,0.327868852,0,0,0,0,0,0,0,0,0,0,0,0
710,3746,4748,4184,4200,0.64516129,0.64516129,3.870967742,0.322580645,0.322580645,0,0.322580645,0,0.322580645,10,0,0.64516129,0,0.64516129,0,8.064516129,0,0.64516129,0,0,0,0,0.322580645,1.935483871,0,2.903225806,0,0.967741935,0.64516129,0,0,0.322580645,50,0,0.967741935,6.774193548,1.290322581,0,2.580645161,0,0,0,0,0,0,0.64516129,0,1.612903226,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0.64516129,0.322580645,0.967741935,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,3818,4813,4254,4269,0,0.664451827,4.983388704,0,0.664451827,0,0,0,0,7.3089701,0,0.664451827,0,0,0,6.976744186,0.996677741,0.664451827,0,0,0,0.332225914,0.664451827,1.661129568,0,4.651162791,0,0.332225914,0.664451827,0,0,0,53.48837209,0,0,10.96345515,0.332225914,0,0.996677741,0,0,0,0,0,0,0.332225914,0,0.664451827,0,0,0,0,0,0,0,0,0,0,0,0.332225914,0,0,1.328903654,0,0,0,0,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0
740,3963,4946,4391,4406,0.655737705,1.967213115,2.950819672,0,0,0,0,0,0,5.245901639,0,0,0,0.983606557,0.655737705,3.606557377,1.967213115,0,0,0,0,0,0,0.655737705,0.327868852,7.868852459,0,0.327868852,0,0,0.327868852,0,51.80327869,0,0.327868852,11.47540984,2.295081967,0,2.62295082,0,0,0,0.983606557,0,0,0.983606557,0,0.655737705,0,0,0,0,0,0,0,0,0,0,0.327868852,0,0.327868852,0.327868852,0,0,0,0,0,0,0,0.327868852,0,0,0,0,0,0,0,0,0,0,0,0
760,4115,5073,4526,4543,0,1.993355482,1.328903654,0,0,0,0,0,0,5.315614618,0,0.664451827,0,0,0,4.318936877,0,0.664451827,0,0,0,0,0,1.328903654,0,4.983388704,0,0.996677741,0,0,0,0,59.13621262,0,0,9.634551495,1.993355482,0,3.322259136,0,0,0,1.328903654,0,0,1.328903654,0,0.332225914,0,0,0,0.332225914,0.332225914,0,0,0,0,0,0.332225914,0,0,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,4274,5188,4660,4677,0.327868852,0.655737705,0.655737705,0,0.327868852,0,0,0,0,2.295081967,0,0.655737705,0.655737705,0,0,1.639344262,0.327868852,0.655737705,0,0,0,0,0.327868852,0.655737705,0,8.524590164,0,0.655737705,0,0,0,0,62.62295082,0,0,11.47540984,2.295081967,0,0.655737705,0,0,0,1.31147541,0,0,0.327868852,0.327868852,0.983606557,0,0,0,0.327868852,0,0,0,0.327868852,0,0,0,0,0,0.327868852,0,0,0,0,0,0,0,0.327868852,0,0,0,0,0,0.327868852,0,0,0,0,0,0
797,4448,5327,4817,4838,0,1.661129568,1.328903654,0,0,0,0,0,0,2.990033223,0,0.332225914,0.332225914,0,0.332225914,3.322259136,0.332225914,0.332225914,0,0,0.332225914,0,0.332225914,0.996677741,0,12.62458472,0,0.332225914,0.332225914,0,0,0,62.12624585,0,0,5.980066445,0.996677741,0.332225914,1.993355482,0,0,0,0.996677741,0,0,0.996677741,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,4592,5421,4920,4941,0,0.33557047,0.67114094,0.33557047,0.67114094,0,0,0,0,3.355704698,0,0.33557047,0,0,0.33557047,1.006711409,1.006711409,0.33557047,0,0,0.67114094,0.33557047,0.33557047,0.33557047,0,9.395973154,0,0,1.342281879,0,0.33557047,0,61.40939597,0,0,7.382550336,1.677852349,0,1.677852349,0,0,0,3.355704698,0,0,1.006711409,0,0,0.33557047,0,0,0.33557047,0,0,0,0,0,0.33557047,0,0,0.33557047,0.33557047,0,0,0,0,0,0,0,0.33557047,0,0,0,0,0.33557047,0,0,0,0,0,0,0
840,4678,5523,5018,5039,0.330033003,0.99009901,1.650165017,0.330033003,0,0,0,0.330033003,0.330033003,6.600660066,0,0,0.330033003,0,0,1.98019802,0.660066007,0,0,0,0,0,0.330033003,2.310231023,0,14.85148515,0,0.330033003,0.330033003,0,0,0,55.77557756,0,0,7.590759076,0.99009901,0,1.320132013,0,0,0,1.650165017,0,0,0.330033003,0,0,0,0,0,0.330033003,0,0,0,0,0,0,0,0,0.330033003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,4722,5576,5068,5088,0.333333333,0.666666667,1,0,0.666666667,0,0,0,0,2.333333333,0,0.333333333,0,0,0,2,0.333333333,0.333333333,0,0,0,0.333333333,0,0.666666667,0,18.33333333,0,0.666666667,0.333333333,0,0,0,56.66666667,0,0,10.33333333,1.333333333,0,1.333333333,0,0,0,1,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,4767,5625,5119,5137,0.333333333,1,2.666666667,0,0.333333333,0,0,0,0.333333333,2,0,0.666666667,0.333333333,0.666666667,0,1,1,0.333333333,0,0,0,0,0,1,0,24.66666667,0,0.666666667,0,0,0,0,50.33333333,0,0,5,1,0,1.666666667,0,0,0,2.666666667,0,0,1.333333333,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,4812,5675,5167,5187,0.334448161,0,0.668896321,0,0.334448161,0,0,0,0.334448161,4.013377926,0,0,0,0,0,0.668896321,0.334448161,0.334448161,0,0,0,0,0,1.672240803,0,26.75585284,0,0.668896321,0.334448161,0,0,0,50.16722408,0,0,9.030100334,0.668896321,0,2.341137124,0,0,0,0.668896321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0.334448161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,4854,5730,5217,5236,0,0.328947368,1.315789474,0,0.657894737,0,0,0,0,4.605263158,0,0,0,0,0,0.657894737,0.986842105,0.328947368,0,0,0.328947368,0,0,2.302631579,0,24.34210526,0,0.328947368,0.657894737,0,0,0,52.63157895,0,0.328947368,5.592105263,0.986842105,0,0.328947368,0,0.328947368,0,1.315789474,0,0,0.657894737,0,0.657894737,0,0,0,0,0,0,0,0,0,0,0,0,0.328947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,4899,5792,5267,5286,0.331125828,0,0.662251656,0,0,0,0.331125828,0.331125828,0,4.635761589,0,0.331125828,0,0,0,0.993377483,0.331125828,0,0,0,0,0,0.331125828,1.986754967,0,27.15231788,0,0,0.662251656,0,0,0,50.66225166,0,0,6.953642384,0.993377483,0,0,0,0.662251656,0,1.655629139,0,0,0.662251656,0,0,0,0,0,0,0,0,0,0,0,0,0.331125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
